DATE,A792RC0Q052SBEA
2013-10-01,44674.0
2014-01-01,45380.0
2014-04-01,46022.0
2014-07-01,46540.0
2014-10-01,47085.0
2015-01-01,47595.0
2015-04-01,47963.0
2015-07-01,48217.0
2015-10-01,48375.0
2016-01-01,48527.0
2016-04-01,48682.0
2016-07-01,49059.0
2016-10-01,49504.0
2017-01-01,50168.0
2017-04-01,50684.0
2017-07-01,51193.0
2017-10-01,51864.0
2018-01-01,52439.0
2018-04-01,52986.0
2018-07-01,53636.0
2018-10-01,54177.0
2019-01-01,55030.0
2019-04-01,55391.0
2019-07-01,55687.0
2019-10-01,56128.0
2020-01-01,56613.0
2020-04-01,60878.0
2020-07-01,59762.0
2020-10-01,59274.0
2021-01-01,66732.0
2021-04-01,63326.0
2021-07-01,63606.0
2021-10-01,64119.0
2022-01-01,64739.0
2022-04-01,65562.0
2022-07-01,66814.0
2022-10-01,67760.0
2023-01-01,68694.0
2023-04-01,69533.0
2023-07-01,70156.0
2023-10-01,70873.0
2024-01-01,72387.0
2024-04-01,73242.0
