DATE,PCU5311205311202
2017-01-01,149.5
2017-02-01,151.7
2017-03-01,151.2
2017-04-01,152.5
2017-05-01,152.7
2017-06-01,152.7
2017-07-01,150.6
2017-08-01,150.6
2017-09-01,151.1
2017-10-01,152.1
2017-11-01,152.6
2017-12-01,151.2
2018-01-01,150.6
2018-02-01,149.6
2018-03-01,151.1
2018-04-01,150.1
2018-05-01,150.8
2018-06-01,151.3
2018-07-01,151.7
2018-08-01,152.0
2018-09-01,152.0
2018-10-01,152.6
2018-11-01,152.9
2018-12-01,154.6
2019-01-01,154.7
2019-02-01,154.5
2019-03-01,155.4
2019-04-01,156.0
2019-05-01,155.6
2019-06-01,157.8
2019-07-01,158.0
2019-08-01,158.0
2019-09-01,158.0
2019-10-01,159.1
2019-11-01,158.8
2019-12-01,159.0
2020-01-01,160.3
2020-02-01,160.1
2020-03-01,161.5
2020-04-01,161.4
2020-05-01,159.4
2020-06-01,160.9
2020-07-01,161.2
2020-08-01,159.4
2020-09-01,160.8
2020-10-01,158.7
2020-11-01,163.9
2020-12-01,161.9
2021-01-01,160.4
2021-02-01,163.6
2021-03-01,164.5
2021-04-01,163.9
2021-05-01,163.3
2021-06-01,163.0
2021-07-01,163.973
2021-08-01,165.062
2021-09-01,164.356
2021-10-01,165.996
2021-11-01,167.272
2021-12-01,167.563
2022-01-01,167.116
2022-02-01,166.245
2022-03-01,166.128
2022-04-01,166.241
2022-05-01,167.495
2022-06-01,165.105
2022-07-01,165.480
2022-08-01,171.963
2022-09-01,170.964
2022-10-01,170.668
2022-11-01,171.181
2022-12-01,170.018
2023-01-01,172.818
2023-02-01,174.951
2023-03-01,173.789
2023-04-01,174.961
2023-05-01,174.782
2023-06-01,172.102
2023-07-01,173.294
2023-08-01,178.238
2023-09-01,178.943
2023-10-01,176.046
2023-11-01,179.805
2023-12-01,176.928
2024-01-01,179.185
2024-02-01,175.650
2024-03-01,178.400
2024-04-01,177.871
2024-05-01,176.635
2024-06-01,175.935
2024-07-01,178.099
2024-08-01,165.795
