DATE,PCU531120531120
2020-01-01,152.2
2020-02-01,149.5
2020-03-01,148.8
2020-04-01,149.6
2020-05-01,145.0
2020-06-01,149.8
2020-07-01,151.1
2020-08-01,153.4
2020-09-01,157.4
2020-10-01,154.8
2020-11-01,156.1
2020-12-01,155.4
2021-01-01,154.2
2021-02-01,151.0
2021-03-01,151.7
2021-04-01,152.4
2021-05-01,151.1
2021-06-01,153.2
2021-07-01,155.515
2021-08-01,156.549
2021-09-01,157.176
2021-10-01,154.897
2021-11-01,155.126
2021-12-01,156.214
2022-01-01,158.616
2022-02-01,155.208
2022-03-01,153.299
2022-04-01,158.623
2022-05-01,156.094
2022-06-01,153.897
2022-07-01,153.304
2022-08-01,161.868
2022-09-01,164.179
2022-10-01,161.031
2022-11-01,160.083
2022-12-01,161.993
2023-01-01,165.171
2023-02-01,157.919
2023-03-01,154.988
2023-04-01,158.995
2023-05-01,158.997
2023-06-01,161.485
2023-07-01,160.162
2023-08-01,165.037
2023-09-01,168.713
2023-10-01,163.277
2023-11-01,165.865
2023-12-01,167.625
2024-01-01,170.792
2024-02-01,164.407
2024-03-01,164.361
2024-04-01,165.119
2024-05-01,164.144
2024-06-01,167.131
2024-07-01,170.148
2024-08-01,169.274
