DATE,BOGZ1FA643065045Q
2016-01-01,35380.0
2016-04-01,-9240.0
2016-07-01,-18288.0
2016-10-01,-42812.0
2017-01-01,-38712.0
2017-04-01,-27936.0
2017-07-01,-18700.0
2017-10-01,-9164.0
2018-01-01,8220.0
2018-04-01,-16128.0
2018-07-01,8308.0
2018-10-01,48244.0
2019-01-01,29892.0
2019-04-01,15248.0
2019-07-01,16612.0
2019-10-01,55084.0
2020-01-01,-80160.0
2020-04-01,23688.0
2020-07-01,14248.0
2020-10-01,1036.0
2021-01-01,-13124.0
2021-04-01,44012.0
2021-07-01,8540.0
2021-10-01,26288.0
2022-01-01,23940.0
2022-04-01,11840.0
2022-07-01,-14104.0
2022-10-01,-12432.0
2023-01-01,-1212.0
2023-04-01,-18860.0
2023-07-01,-16320.0
2023-10-01,7260.0
2024-01-01,-4576.0
2024-04-01,-24.0
