DATE,JTS7200JOL
2000-12-01,525
2001-01-01,597
2001-02-01,558
2001-03-01,568
2001-04-01,533
2001-05-01,470
2001-06-01,384
2001-07-01,509
2001-08-01,482
2001-09-01,463
2001-10-01,316
2001-11-01,387
2001-12-01,368
2002-01-01,313
2002-02-01,355
2002-03-01,330
2002-04-01,319
2002-05-01,339
2002-06-01,298
2002-07-01,332
2002-08-01,345
2002-09-01,316
2002-10-01,332
2002-11-01,341
2002-12-01,334
2003-01-01,358
2003-02-01,326
2003-03-01,320
2003-04-01,331
2003-05-01,364
2003-06-01,359
2003-07-01,289
2003-08-01,332
2003-09-01,350
2003-10-01,394
2003-11-01,387
2003-12-01,387
2004-01-01,376
2004-02-01,389
2004-03-01,387
2004-04-01,372
2004-05-01,374
2004-06-01,408
2004-07-01,465
2004-08-01,412
2004-09-01,454
2004-10-01,432
2004-11-01,346
2004-12-01,358
2005-01-01,462
2005-02-01,444
2005-03-01,461
2005-04-01,524
2005-05-01,464
2005-06-01,486
2005-07-01,436
2005-08-01,424
2005-09-01,412
2005-10-01,431
2005-11-01,469
2005-12-01,517
2006-01-01,511
2006-02-01,512
2006-03-01,500
2006-04-01,589
2006-05-01,487
2006-06-01,473
2006-07-01,522
2006-08-01,514
2006-09-01,467
2006-10-01,496
2006-11-01,530
2006-12-01,496
2007-01-01,429
2007-02-01,478
2007-03-01,537
2007-04-01,486
2007-05-01,520
2007-06-01,520
2007-07-01,559
2007-08-01,572
2007-09-01,609
2007-10-01,532
2007-11-01,532
2007-12-01,525
2008-01-01,517
2008-02-01,486
2008-03-01,509
2008-04-01,488
2008-05-01,483
2008-06-01,417
2008-07-01,385
2008-08-01,354
2008-09-01,354
2008-10-01,355
2008-11-01,295
2008-12-01,298
2009-01-01,206
2009-02-01,296
2009-03-01,239
2009-04-01,247
2009-05-01,268
2009-06-01,264
2009-07-01,223
2009-08-01,173
2009-09-01,260
2009-10-01,244
2009-11-01,251
2009-12-01,239
2010-01-01,257
2010-02-01,239
2010-03-01,211
2010-04-01,255
2010-05-01,260
2010-06-01,267
2010-07-01,285
2010-08-01,319
2010-09-01,283
2010-10-01,382
2010-11-01,291
2010-12-01,312
2011-01-01,331
2011-02-01,342
2011-03-01,352
2011-04-01,289
2011-05-01,279
2011-06-01,325
2011-07-01,288
2011-08-01,343
2011-09-01,362
2011-10-01,366
2011-11-01,380
2011-12-01,402
2012-01-01,380
2012-02-01,320
2012-03-01,398
2012-04-01,404
2012-05-01,393
2012-06-01,411
2012-07-01,424
2012-08-01,364
2012-09-01,368
2012-10-01,429
2012-11-01,442
2012-12-01,415
2013-01-01,415
2013-02-01,468
2013-03-01,451
2013-04-01,430
2013-05-01,422
2013-06-01,438
2013-07-01,451
2013-08-01,429
2013-09-01,482
2013-10-01,450
2013-11-01,462
2013-12-01,504
2014-01-01,505
2014-02-01,485
2014-03-01,518
2014-04-01,570
2014-05-01,621
2014-06-01,598
2014-07-01,566
2014-08-01,621
2014-09-01,632
2014-10-01,604
2014-11-01,573
2014-12-01,621
2015-01-01,716
2015-02-01,653
2015-03-01,630
2015-04-01,648
2015-05-01,632
2015-06-01,599
2015-07-01,692
2015-08-01,637
2015-09-01,631
2015-10-01,708
2015-11-01,678
2015-12-01,670
2016-01-01,668
2016-02-01,685
2016-03-01,708
2016-04-01,650
2016-05-01,651
2016-06-01,700
2016-07-01,651
2016-08-01,708
2016-09-01,659
2016-10-01,652
2016-11-01,658
2016-12-01,654
2017-01-01,644
2017-02-01,805
2017-03-01,653
2017-04-01,759
2017-05-01,776
2017-06-01,735
2017-07-01,749
2017-08-01,812
2017-09-01,685
2017-10-01,708
2017-11-01,790
2017-12-01,797
2018-01-01,843
2018-02-01,789
2018-03-01,829
2018-04-01,853
2018-05-01,847
2018-06-01,903
2018-07-01,918
2018-08-01,895
2018-09-01,982
2018-10-01,921
2018-11-01,925
2018-12-01,960
2019-01-01,1018
2019-02-01,893
2019-03-01,904
2019-04-01,905
2019-05-01,884
2019-06-01,836
2019-07-01,845
2019-08-01,833
2019-09-01,881
2019-10-01,857
2019-11-01,854
2019-12-01,789
2020-01-01,756
2020-02-01,807
2020-03-01,543
2020-04-01,286
2020-05-01,612
2020-06-01,768
2020-07-01,689
2020-08-01,666
2020-09-01,708
2020-10-01,705
2020-11-01,725
2020-12-01,706
2021-01-01,659
2021-02-01,826
2021-03-01,951
2021-04-01,1143
2021-05-01,1241
2021-06-01,1366
2021-07-01,1552
2021-08-01,1519
2021-09-01,1401
2021-10-01,1468
2021-11-01,1408
2021-12-01,1503
2022-01-01,1417
2022-02-01,1514
2022-03-01,1495
2022-04-01,1472
2022-05-01,1416
2022-06-01,1411
2022-07-01,1394
2022-08-01,1257
2022-09-01,1305
2022-10-01,1385
2022-11-01,1355
2022-12-01,1503
2023-01-01,1334
2023-02-01,1206
2023-03-01,1232
2023-04-01,1166
2023-05-01,1145
2023-06-01,1038
2023-07-01,1051
2023-08-01,1012
2023-09-01,1146
2023-10-01,994
2023-11-01,983
2023-12-01,847
2024-01-01,955
2024-02-01,975
2024-03-01,1034
2024-04-01,918
2024-05-01,746
2024-06-01,816
2024-07-01,815
2024-08-01,903
