DATE,FLMVLOAS
2008-07-01,1.17955
2008-10-01,-8.1336
2009-01-01,-7.19698
2009-04-01,-4.5546
2009-07-01,-1.74966
2009-10-01,-5.89597
2010-01-01,-0.38415
2010-04-01,-3.29315
2010-07-01,-3.21905
2010-10-01,-6.62143
2011-01-01,-1.3397
2011-04-01,1.45559
2011-07-01,3.10071
2011-10-01,2.42795
2012-01-01,2.76325
2012-04-01,6.73907
2012-07-01,6.9506
2012-10-01,3.61355
2013-01-01,4.06389
2013-04-01,6.59052
2013-07-01,8.44471
2013-10-01,3.88358
2014-01-01,4.49003
2014-04-01,8.61707
2014-07-01,8.3707
2014-10-01,4.22256
2015-01-01,4.19205
2015-04-01,8.39719
2015-07-01,9.78958
2015-10-01,3.5781
2016-01-01,3.39193
2016-04-01,7.31835
2016-07-01,9.67269
2016-10-01,3.71757
2017-01-01,1.89375
2017-04-01,4.49604
2017-07-01,4.14874
2017-10-01,2.67832
2018-01-01,1.00801
2018-04-01,2.22945
2018-07-01,5.26885
2018-10-01,2.73252
2019-01-01,1.52024
2019-04-01,5.26113
2019-07-01,5.16149
2019-10-01,2.90153
2020-01-01,-0.07759
2020-04-01,4.50482
2020-07-01,7.00669
2020-10-01,2.00115
2021-01-01,5.43631
2021-04-01,11.50023
2021-07-01,8.57893
2021-10-01,4.614
2022-01-01,5.95144
2022-04-01,11.54647
2022-07-01,10.57031
2022-10-01,7.52914
2023-01-01,5.63065
2023-04-01,6.24828
2023-07-01,5.72627
2023-10-01,0.999
2024-01-01,-0.27796
2024-04-01,2.83194
